,Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,found_zipcode,found_lat,found_lon
125115,A833055,Snickers,2021-04-23 12:34:00,04/23/2021 12:34:00 PM,907 West Slaughter in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Jack Russell Terrier/Papillon,White/Red,None,,
125116,A833069,,2021-04-23 15:45:00,04/23/2021 03:45:00 PM,Calle Limon And Lyons in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Tan,None,,
125117,A833052,Tigre,2021-04-23 11:03:00,04/23/2021 11:03:00 AM,Manor Road in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Rat Terrier Mix,Brown Brindle,78724,30.319195,-97.661713
125119,A833084,Bear,2021-04-23 16:47:00,04/23/2021 04:47:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,10 years,Australian Cattle Dog,White/Black,None,,
125120,A833091,,2021-04-23 17:50:00,04/23/2021 05:50:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Domestic Medium Hair,Black,None,,
125121,A833067,Athena,2021-04-23 15:15:00,04/23/2021 03:15:00 PM,Leander (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Labrador Retriever/Anatol Shepherd,Tan/Black,None,,
125122,A833068,Oakley,2021-04-23 15:15:00,04/23/2021 03:15:00 PM,Leander (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Labrador Retriever/Anatol Shepherd,Tan/Black,None,,
125123,A833121,,2021-04-24 11:39:00,04/24/2021 11:39:00 AM,1033 East 41St Street in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Raccoon,Black/Gray,78751,30.297592,-97.71883191403549
125124,A833114,,2021-04-24 10:59:00,04/24/2021 10:59:00 AM,700 East 51St  Street in Austin (TX),Wildlife,Normal,Other,Unknown,2 months,Raccoon,Black/Gray,78751,30.312941,-97.717081
125125,A833116,,2021-04-24 10:59:00,04/24/2021 10:59:00 AM,700 East 51St  Street in Austin (TX),Wildlife,Normal,Other,Unknown,2 months,Raccoon,Black/Gray,78751,30.312941,-97.717081
125126,A832914,Carlota,2021-04-21 14:53:00,04/21/2021 02:53:00 PM,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Doberman Pinsch/Labrador Retriever,Tricolor,None,,
125127,A830728,,2021-03-13 05:00:00,03/13/2021 05:00:00 AM,Travis (TX),Public Assist,Nursing,Cat,Intact Female,0 years,Domestic Shorthair,Torbie,None,,
125128,A833115,,2021-04-24 10:59:00,04/24/2021 10:59:00 AM,700 East 51St  Street in Austin (TX),Wildlife,Normal,Other,Unknown,2 months,Raccoon,Black/Gray,78751,30.312941,-97.717081
125129,A833119,,2021-04-24 11:39:00,04/24/2021 11:39:00 AM,1033 East 41St Street in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Raccoon,Black/Gray,78751,30.297592,-97.71883191403549
125130,A833113,,2021-04-24 10:59:00,04/24/2021 10:59:00 AM,700 East 51St  Street in Austin (TX),Wildlife,Normal,Other,Unknown,2 months,Raccoon,Black/Gray,78751,30.312941,-97.717081
125131,A833090,*Bernadette,2021-04-23 17:50:00,04/23/2021 05:50:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2 months,Domestic Medium Hair,Black,None,,
125132,A830362,*Biggie Smalls,2021-03-08 15:53:00,03/08/2021 03:53:00 PM,1400 Brighton Circle in Austin (TX),Stray,Medical,Dog,Intact Male,5 years,American Pit Bull Terrier/Basset Hound,Black/White,78753,30.354284,-97.67651325714286
125133,A830774,*Striper,2021-03-16 11:28:00,03/16/2021 11:28:00 AM,5201 Scottish Thistle Drive in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Shorthair,Brown Tabby,78739,30.1928815,-97.86962775781251
125134,A830778,*Grouper,2021-03-16 11:28:00,03/16/2021 11:28:00 AM,5201 Scottish Thistle Drive in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Shorthair,Blue Tabby/White,78739,30.1928815,-97.86962775781251
125135,A830779,*Mackerel,2021-03-16 11:28:00,03/16/2021 11:28:00 AM,5201 Scottish Thistle Drive in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Shorthair,Brown Tabby/White,78739,30.1928815,-97.86962775781251
125136,A830775,*Snapper,2021-03-16 11:28:00,03/16/2021 11:28:00 AM,5201 Scottish Thistle Drive in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Shorthair,Brown Tabby,78739,30.1928815,-97.86962775781251
125137,A833148,,2021-04-25 08:58:00,04/25/2021 08:58:00 AM,4434 Frontier Trail in Austin (TX),Owner Surrender,Sick,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby,78745,30.231409499999998,-97.79576352760756
